campaign,date,survey_time,area,environment,swab_id,family,scientific_name,time_of_capture,count,glycerol,tissue,marked,capture_latitude,capture_longitude,comments
04,2021-03-08T00:00:00Z,night,06,water, 656,brachycephalidae,ischnocnema parva,19:05:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08957,NA
04,2021-03-08T00:00:00Z,night,06,water, 657,brachycephalidae,ischnocnema parva,19:06:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08957,NA
06,2021-11-28T00:00:00Z,day,06,water,1464,brachycephalidae,brachycephalus pitanga,17:30:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08958,NA
06,2021-11-28T00:00:00Z,day,06,water,1465,brachycephalidae,brachycephalus pitanga,17:30:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08958,NA
06,2021-11-28T00:00:00Z,day,06,water,1466,brachycephalidae,brachycephalus pitanga,17:32:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08958,NA
08,2022-05-06T00:00:00Z,night,06,water,2333,hylidae,scinax flavoguttatus,18:45:00,1,FALSE,FALSE,FALSE,-23.32429,-45.08958,Macho voc
08,2022-05-06T00:00:00Z,night,06,water,2334,hylidae,scinax flavoguttatus,18:49:00,1,FALSE,FALSE,FALSE,-23.32429,-45.08958,Macho voc
09,2022-07-29T00:00:00Z,night,06,water,2850,hylidae,scinax flavoguttatus,18:24:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08959,Macho voc
09,2022-07-29T00:00:00Z,night,06,water,2851,hylidae,scinax flavoguttatus,18:25:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08959,Macho voc
09,2022-07-29T00:00:00Z,night,06,water,2852,hylidae,scinax flavoguttatus,18:26:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08959,Macho voc
09,2022-07-29T00:00:00Z,night,06,water,2853,hylidae,scinax flavoguttatus,18:27:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08959,Macho voc
09,2022-07-29T00:00:00Z,night,06,water,2854,hylidae,scinax flavoguttatus,18:28:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08959,Macho voc
04,2021-04-08T00:00:00Z,night,06,water, 695,brachycephalidae,ischnocnema parva,19:13:00,1,FALSE,FALSE,FALSE,-23.32426,-45.08961,NA
05,2021-09-19T00:00:00Z,day,06,water,1067,brachycephalidae,ischnocnema parva,17:20:00,1,FALSE,FALSE,FALSE,-23.32415,-45.08961,F/ovada
05,2021-09-19T00:00:00Z,day,06,water,1068,brachycephalidae,brachycephalus pitanga,17:24:00,1,FALSE,FALSE,FALSE,-23.32415,-45.08961,NA
05,2021-09-21T00:00:00Z,day,06,water,1170,brachycephalidae,ischnocnema parva,17:45:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08962,NA
06,2021-11-29T00:00:00Z,night,06,water,1524,brachycephalidae,ischnocnema parva,19:00:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08962,NA
06,2021-11-29T00:00:00Z,night,06,water,1525,brachycephalidae,ischnocnema parva,19:00:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08962,NA
06,2021-11-29T00:00:00Z,night,06,water,1530,odontophrynidae,proceratophrys boiei,19:37:00,1,FALSE,FALSE,FALSE,-23.32389,-45.08962,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2814,hylidae,scinax flavoguttatus,18:55:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08962,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2815,hylidae,scinax flavoguttatus,18:57:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08962,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2816,hylidae,scinax flavoguttatus,18:59:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08962,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2817,hylidae,scinax flavoguttatus,19:01:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08962,Macho voc
09,2022-07-28T00:00:00Z,night,06,water,2818,hylidae,scinax flavoguttatus,19:03:00,1,FALSE,FALSE,FALSE,-23.32421,-45.08962,Macho voc
05,2019-01-20T00:00:00Z,night,06,water,1129,hylidae,scinax flavoguttatus,18:35:00,1,FALSE,FALSE,FALSE,-23.32418,-45.08963,Macho voc
04,2021-04-08T00:00:00Z,night,06,water, 689,hylidae,scinax flavoguttatus,18:32:00,1,FALSE,FALSE,FALSE,-23.32427,-45.08964,Macho voc
04,2021-04-08T00:00:00Z,night,06,water, 690,hylidae,scinax flavoguttatus,18:36:00,1,FALSE,FALSE,FALSE,-23.32427,-45.08964,Macho voc
04,2021-04-08T00:00:00Z,night,06,water, 691,hylidae,scinax flavoguttatus,18:40:00,1,FALSE,FALSE,FALSE,-23.32427,-45.08964,Macho voc
04,2021-04-08T00:00:00Z,night,06,water, 692,hylidae,scinax flavoguttatus,18:47:00,1,FALSE,FALSE,FALSE,-23.32427,-45.08964,Macho voc
06,2021-11-30T00:00:00Z,night,06,water,1566,brachycephalidae,ischnocnema henselii,19:09:00,1,FALSE,FALSE,FALSE,-23.32409,-45.08965,Macho voc
09,2022-07-29T00:00:00Z,night,06,water,2856,brachycephalidae,ischnocnema henselii,18:35:00,1,FALSE,TRUE,TRUE,-23.32409,-45.08965,NA
09,2022-07-27T00:00:00Z,night,06,water,2796,hylidae,ololygon perpusilla,19:04:00,1,FALSE,FALSE,FALSE,-23.32389,-45.08966,NA
07,2022-02-18T00:00:00Z,night,06,water,2109,brachycephalidae,ischnocnema henselii,19:43:00,1,TRUE,TRUE,TRUE,-23.32007,-45.08968,Fêmea
08,2022-05-06T00:00:00Z,night,06,water,2331,hylidae,scinax flavoguttatus,18:40:00,1,FALSE,FALSE,FALSE,-23.32430,-45.08968,Macho voc
05,2021-09-19T00:00:00Z,day,06,water,1073,brachycephalidae,brachycephalus pitanga,17:55:00,1,FALSE,FALSE,FALSE,-23.32396,-45.08968,NA
05,2021-09-19T00:00:00Z,day,06,water,1074,brachycephalidae,brachycephalus pitanga,17:55:00,1,FALSE,FALSE,FALSE,-23.32396,-45.08968,NA
04,2021-04-08T00:00:00Z,night,06,water, 687,bufonidae,dendrophryniscus haddadi,18:20:00,1,FALSE,FALSE,FALSE,-23.32381,-45.08969,NA
06,2021-11-30T00:00:00Z,night,06,water,1571,odontophrynidae,proceratophrys boiei,19:35:00,1,FALSE,FALSE,FALSE,-23.32390,-45.08969,NA
06,2021-11-30T00:00:00Z,night,06,water,1572,hylidae,ololygon aff brieni,19:37:00,1,FALSE,FALSE,FALSE,-23.32390,-45.08969,NA
06,2021-11-30T00:00:00Z,night,06,water,1568,brachycephalidae,ischnocnema parva,19:12:00,1,FALSE,FALSE,FALSE,-23.32408,-45.08969,NA
04,2021-02-08T00:00:00Z,night,06,water, 635,hylidae,scinax flavoguttatus,18:46:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08970,Macho voc
04,2021-02-08T00:00:00Z,night,06,water, 636,hylidae,scinax flavoguttatus,18:50:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08970,Macho voc
05,2021-09-19T00:00:00Z,day,06,water,1069,brachycephalidae,ischnocnema henselii,17:30:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08970,NA
05,2021-09-19T00:00:00Z,day,06,water,1070,brachycephalidae,ischnocnema henselii,17:31:00,1,FALSE,FALSE,FALSE,-23.32422,-45.08970,NA
07,2022-02-18T00:00:00Z,night,06,water,2110,hylidae,bokermannohyla circumdata,19:47:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08971,NA
07,2022-02-20T00:00:00Z,night,06,water,2201,hylidae,bokermannohyla hylax,00:50:00,1,FALSE,FALSE,FALSE,-23.32423,-45.08971,imago
08,2022-05-07T00:00:00Z,night,06,water,2382,brachycephalidae,brachycephalus pitanga,18:47:00,1,FALSE,FALSE,FALSE,-23.32419,-45.08972,NA
05,2019-01-20T00:00:00Z,night,06,water,1130,hylidae,aplastodiscus leucopygius,18:50:00,1,FALSE,FALSE,FALSE,-23.32396,-45.08972,recaptura 5º campanha
05,2019-01-20T00:00:00Z,night,06,water,1131,odontophrynidae,proceratophrys boiei,18:55:00,1,FALSE,FALSE,FALSE,-23.32396,-45.08972,NA
01,2020-09-12T00:00:00Z,night,06,water, 114,hylidae,bokermannohyla hylax,23:39:00,1,FALSE,FALSE,FALSE,-23.32392,-45.08973,NA
09,2022-07-27T00:00:00Z,night,06,water,2795,brachycephalidae,ischnocnema henselii,18:55:00,1,FALSE,TRUE,TRUE,-23.32407,-45.08973,NA
08,2022-05-06T00:00:00Z,night,06,water,2330,hylidae,scinax flavoguttatus,18:23:00,1,FALSE,FALSE,FALSE,-23.32429,-45.08973,Fêmea
05,2021-09-19T00:00:00Z,day,06,water,1071,brachycephalidae,ischnocnema henselii,17:43:00,1,FALSE,FALSE,FALSE,-23.32404,-45.08973,NA
05,2021-09-19T00:00:00Z,day,06,water,1072,brachycephalidae,ischnocnema henselii,17:47:00,1,FALSE,FALSE,FALSE,-23.32404,-45.08973,NA
05,2021-09-21T00:00:00Z,day,06,water,1173,brachycephalidae,ischnocnema parva,17:59:00,1,FALSE,FALSE,FALSE,-23.32411,-45.08973,NA
05,2021-09-21T00:00:00Z,day,06,water,1171,brachycephalidae,ischnocnema parva,17:50:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08974,NA
05,2021-09-21T00:00:00Z,day,06,water,1172,brachycephalidae,brachycephalus pitanga,17:50:00,1,FALSE,FALSE,FALSE,-23.32420,-45.08974,NA
04,2021-04-08T00:00:00Z,night,06,water, 688,brachycephalidae,ischnocnema parva,18:26:00,1,FALSE,FALSE,FALSE,-23.32413,-45.08974,NA
