swab_id,zoo_load_100,log10_1
178,        00.00,00.000000
179,        00.00,00.000000
180,        00.00,00.000000
181,        00.00,00.000000
182,    26085.00,04.416407
183,        00.00,00.000000
184,  1240804.00,06.093704
185,        00.00,00.000000
186,        00.00,00.000000
187,        00.00,00.000000
188,        00.00,00.000000
189,        00.00,00.000000
190,     3849.60,03.585528
191,        00.00,00.000000
192,        00.00,00.000000
193,        00.00,00.000000
194,     1000.80,03.000781
195,        00.00,00.000000
196,   972864.00,05.988053
197,  2691034.00,06.429919
198,    97986.90,04.991172
199,      284.00,02.454845
200,     1057.00,03.024486
201,      366.60,02.565376
202,      284.90,02.456214
203,  4769302.00,06.678455
204,   380305.00,05.580133
205,    99221.70,04.996611
206,    41936.20,04.622599
207,      221.80,02.347915
208,        00.00,00.000000
209,    13406.70,04.127354
210,     9568.40,03.980885
211,      520.30,02.717088
212,        00.00,00.000000
213,        00.00,00.000000
214,  1824185.00,06.261069
215,    35797.00,04.553859
216,      206.50,02.317018
217,NA,NA
218,NA,NA
219,NA,NA
220,NA,NA
221,NA,NA
222,NA,NA
223,NA,NA
224,NA,NA
225,NA,NA
226,NA,NA
227,NA,NA
228,        00.00,00.000000
229,      197.60,02.297979
230,   214652.00,05.331737
231,    68441.80,04.835328
232,     8623.00,03.935709
233,     1692.30,03.228734
234,    31242.90,04.494765
235,      105.20,02.026125
236,   574722.00,05.759459
237,   249827.00,05.397641
238,     1589.30,03.201479
239,     2571.70,03.410389
240,        00.00,00.000000
241,        00.00,00.000000
242,    38455.50,04.584970
243,      387.60,02.589503
244,NA,NA
245,NA,NA
246,NA,NA
247,NA,NA
248,NA,NA
249,NA,NA
250,        00.00,00.000000
251,        00.00,00.000000
252,        00.00,00.000000
253,        00.00,00.000000
254,        00.00,00.000000
255,        00.00,00.000000
256,        00.00,00.000000
257,        00.00,00.000000
258,        00.00,00.000000
259,     5126.90,03.709940
260,      550.20,02.741309
262,       77.80,01.896526
263,        00.00,00.000000
264,      179.50,02.256477
265,     1262.30,03.101506
266,        00.00,00.000000
267,    19706.10,04.294623
268,    76435.60,04.883301
269,     5553.10,03.744614
270,     4857.00,03.686458
271,   685952.00,05.836294
272,   138395.00,05.141124
273,    35930.50,04.555475
274,  1809705.00,06.257608
275,   867243.00,05.938141
276,    70031.10,04.845297
277,    83223.40,04.920251
278,   134394.00,05.128383
279,    69189.20,04.840045
280,    55952.20,04.747825
281,     1222.30,03.087533
282,    16365.20,04.213948
283,       86.80,01.943495
284,        00.00,00.000000
285,        00.00,00.000000
286, 22604103.00,07.354187
287,  2719633.00,06.434510
288,   889443.00,05.949119
289,     7979.70,03.902041
290,      477.00,02.679428
291,     2111.30,03.324756
292,     3037.80,03.482702
293,   402233.00,05.604479
294,    31425.50,04.497296
295,     3949.20,03.596619
296,     1584.30,03.200111
297,      524.60,02.720655
298,      177.40,02.251395
299, 59038938.00,07.771139
300,     4904.30,03.690666
301,      929.10,02.968530
302,      503.90,02.703205
303,      142.10,02.155640
304,     3119.70,03.494252
305,        00.00,00.000000
306,        00.00,00.000000
307,       76.70,01.890421
309,        00.00,00.000000
.,NA,NA
.,NA,NA
310,        00.00,00.000000
311,        00.00,00.000000
312,        00.00,00.000000
313,        00.00,00.000000
314,        00.00,00.000000
315,      183.30,02.265525
316,      138.30,02.143951
317,        00.00,00.000000
